Date,Returns
10/31/1999,10.67
11/30/1999,8.14
12/31/1999,15.19
1/31/2000,-6.86
2/29/2000,5.13
3/31/2000,5.05
4/30/2000,-3.05
5/31/2000,-4.19
6/30/2000,-2.92
7/31/2000,-1.38
8/31/2000,0.9
9/30/2000,0.52
10/31/2000,-3.77
11/30/2000,-1.7
12/31/2000,6.15
1/31/2001,6.14
2/28/2001,-4.15
3/31/2001,0.23
4/30/2001,4.82
5/31/2001,0.78
6/30/2001,-0.91
7/31/2001,-0.77
8/31/2001,-1.72
9/30/2001,-7.45
10/31/2001,-1.52
11/30/2001,8.15
12/31/2001,0.18
1/31/2002,-1.87
2/28/2002,-4.57
3/31/2002,9.68
4/30/2002,-2.14
5/31/2002,1.76
6/30/2002,-15.75
7/31/2002,-19.12
8/31/2002,1.62
9/30/2002,-9.92
10/31/2002,7.41
11/30/2002,19.38
12/31/2002,-3.1
1/31/2003,2.45
2/28/2003,1.08
3/31/2003,4.49
4/30/2003,14.9
5/31/2003,12.67
6/30/2003,3.82
7/31/2003,1.13
8/31/2003,7.48
9/30/2003,4.84
10/31/2003,5.92
11/30/2003,-1.72
12/31/2003,2.02
1/31/2004,2.18
2/29/2004,0.95
3/31/2004,-0.26
4/30/2004,1.08
5/31/2004,1.74
6/30/2004,5.64
7/31/2004,-3.88
8/31/2004,-1.36
9/30/2004,6.36
10/31/2004,4.78
11/30/2004,9.58
12/31/2004,3.35
1/31/2005,-3.3
2/28/2005,6.98
3/31/2005,-0.02
4/30/2005,-5.63
5/31/2005,4.61
6/30/2005,4.55
7/31/2005,4.8
8/31/2005,-0.52
9/30/2005,1.53
10/31/2005,-6.25
11/30/2005,-3.53
12/31/2005,6.42
1/31/2006,6
2/28/2006,-1.7
3/31/2006,5.06
4/30/2006,1.8
5/31/2006,3.46
6/30/2006,-2.16
7/31/2006,2.39
8/31/2006,1.23
9/30/2006,1.68
10/31/2006,5.33
11/30/2006,5.44
12/31/2006,1.08
1/31/2007,4.33
2/28/2007,-0.75
3/31/2007,-1.37
4/30/2007,4.84
5/31/2007,3.9
6/30/2007,-1.21
7/31/2007,-3.59
8/31/2007,-2.8
9/30/2007,3.44
10/31/2007,1.61
11/30/2007,-5.31
12/31/2007,-2.06
1/31/2008,0.63
2/29/2008,0.64
3/31/2008,-6.37
4/30/2008,8.45
5/31/2008,-2.61
6/30/2008,-8.56
7/31/2008,-6.84
8/31/2008,10.94
9/30/2008,-19.29
10/31/2008,-18.95
11/30/2008,-25.16
12/31/2008,11.31
1/31/2009,-7.92
2/28/2009,-20.24
3/31/2009,4.9
4/30/2009,21.54
5/31/2009,23.33
6/30/2009,-0.64
7/31/2009,4.94
8/31/2009,13.27
9/30/2009,9.59
10/31/2009,-7.48
11/30/2009,1.06
12/31/2009,12.03
1/31/2010,-1.97
2/28/2010,0.27
3/31/2010,9.64
4/30/2010,1.31
5/31/2010,-9.96
6/30/2010,-5.41
7/31/2010,6.1
8/31/2010,-4.12
9/30/2010,11.9
10/31/2010,5.76
11/30/2010,-4.03
12/31/2010,2.78
1/31/2011,12.09
2/28/2011,4.21
3/31/2011,-1.64
4/30/2011,2.41
5/31/2011,1.22
6/30/2011,-2.19
7/31/2011,-0.98
8/31/2011,-7.51
9/30/2011,-15.25
10/31/2011,15.28
11/30/2011,-2.55
12/31/2011,-2.07
1/31/2012,6.28
2/29/2012,1.02
3/31/2012,5.18
4/30/2012,-0.74
5/31/2012,-4.26
6/30/2012,4.42
7/31/2012,-1.58
8/31/2012,0.64
9/30/2012,3.59
10/31/2012,-0.66
11/30/2012,6.25
12/31/2012,3.34
1/31/2013,16.88
2/28/2013,1.49
3/31/2013,13.83
4/30/2013,1.43
5/31/2013,11.13
6/30/2013,-1.56
7/31/2013,2.89
8/31/2013,-0.66
9/30/2013,2.94
10/31/2013,3.12
11/30/2013,1.78
12/31/2013,3.34
1/31/2014,-1.32
2/28/2014,2.5
3/31/2014,1.54
4/30/2014,0.67
5/31/2014,-0.21
6/30/2014,0.09
7/31/2014,-0.62
8/31/2014,-0.01
9/30/2014,-5.69
10/31/2014,0.63
11/30/2014,0.29
12/31/2014,-3.6
1/31/2015,-3.13
2/28/2015,3.31
3/31/2015,-5.19
4/30/2015,-0.89
5/31/2015,0.63
6/30/2015,-5.41
7/31/2015,-7.07
8/31/2015,-7.84
9/30/2015,-2.3
10/31/2015,4.99
11/30/2015,-1.78
12/31/2015,-4.35
1/31/2016,-7.94
2/29/2016,0.47
3/31/2016,18.58
4/30/2016,8.43
5/31/2016,2.02
6/30/2016,4.44
7/31/2016,8.89
8/31/2016,2.1
9/30/2016,0.7
10/31/2016,0.51
11/30/2016,8.87
12/31/2016,6.5
1/31/2017,4.95
2/28/2017,6.78
3/31/2017,-1.59
4/30/2017,2.23
5/31/2017,1.9
6/30/2017,0.77
7/31/2017,2.71
8/31/2017,-0.29
9/30/2017,1.42
10/31/2017,-0.45
11/30/2017,1.99
12/31/2017,1.74
1/31/2018,2.59
2/28/2018,-0.36
3/31/2018,-3.21
4/30/2018,1.57
5/31/2018,2.85
6/30/2018,4.15
7/31/2018,6.15
8/31/2018,-1.05
9/30/2018,1.94
10/31/2018,-7.1
11/30/2018,-4.65
12/31/2018,-14.77
1/31/2019,12.77
2/28/2019,2.33
3/31/2019,-1.62
4/30/2019,2.51
5/31/2019,-7.35
6/30/2019,5.78
7/31/2019,-0.86
8/31/2019,-2.38
9/30/2019,4.89
10/31/2019,-0.51
11/30/2019,1.34
12/31/2019,5.42
1/31/2020,-10.95
2/29/2020,-6.24
3/31/2020,-23.4
4/30/2020,12.62
5/31/2020,3.06
6/30/2020,7.32
7/31/2020,5.29
8/31/2020,7.09
9/30/2020,-2.75
10/31/2020,-7.24
11/30/2020,25.81
12/31/2020,14.54
1/31/2021,-0.89
2/28/2021,19.2
3/31/2021,8.39
4/30/2021,3.4
5/31/2021,6.54
6/30/2021,5.82
7/31/2021,-4.54
8/31/2021,2.97
9/30/2021,9.26
10/31/2021,2.59
11/30/2021,-5.22
12/31/2021,5.54
1/31/2022,3.12
2/28/2022,5.08
3/31/2022,9.92
4/30/2022,-6.79
5/31/2022,11.34
6/30/2022,-16.26
7/31/2022,13.72
8/31/2022,3.02
9/30/2022,-9.64
10/31/2022,17.58
11/30/2022,8.2
12/31/2022,-0.12
